ICAO
BOI
EVY
GNL
""
""
""
""
""
""
""
""
""
""
""
""
""
TBS
WYT
TFU
CHD
TTF
TWF
SEC
MLA
QRT
PIU
ASD
SEK
AIJ
XRC
UBE
RYA
BRO
GBT
AJR
SFM
AJJ
XXV
BBE
""
ABJ
NKP
ABG
ABE
MRP
AHU
FTY
AAB
BDV
ROH
ADJ
ABP
TUS
TTN
ABX
IAE
NCL
ACD
CYD
""
CFM
ARO
AES
BVR
BJT
CRV
ORS
AXQ
AVR
RRM
ADC
VUE
ADE
DHI
ADK
ADW
DSC
DDS
ADF
TEC
SWH
ADR
DRO
ADV
AXX
AAX
XTJ
""
WSN
ADD
ADV
RDD
DVN
EBS
AEE
ALS
AEF
DRD
FUT
MMG
AGI
WWG
AED
AKR
RRB
CND
ARP
AEK
EPU
XPN
AJP
OWN
GHM
GLM
GUE
ASR
ABA
UCR
EAP
AJH
AOB
ACR
ERC
BSO
NVA
LUE
MLL
AVX
CTD
RRO
DVI
FAQ
AFL
PLS
AEG
AGQ
ARH
BJU
ARJ
LFT
LIN
PCP
ALT
AHL
APR
LDL
VSC
PSE
PSL
EAE
AES
BTS
PRI
PVA
VMX
ABU
ACB
AAP
AAR
AAS
AAS
AAT
AAV
AAW
AAW
AAW
AAZ
ABT
ABE
ACE
ACQ
ACS
ABS
ADT
ADZ
AED
AFF
AFM
FLA
MAC
MRY
PNK
PXG
AFN
ADO
ACC
PNX
AVD
FSY
TTX
LMU
ALN
APN
BAH
AWG
TLB
UJX
AGM
NVD
AZB
AEN
NGF
WFT
ASL
LYN
CCM
AHS
ROO
AWF
SUP
PSO
EIN
EUK
VLB
FCJ
TEW
STT
LBZ
HEZ
UAH
RVQ
ASK
AEH
ERO
XAU
NKY
AWP
AGA
ABZ
ROU
CNM
VRE
AWL
AXY
OES
ASF
AVG
AZY
ACX
AAD
SII
BZS
""
AET
ABM
AAF
AAM
AAO
AAP
AE
AAS
AAU
AAV
AAW
AFU
AAX
BRL
AFH
BRM
AAG
AAG
AAJ
ACS
ADT
AHN
AHR
AHK
AHS
AAI
ACU
ACV
ADC
ADW
AEA
AEQ
AEY
ASW
ASX
AMU
AMW
SEY
SFB
BRF
AFR
ACG
ACI
VSG
AKX
ALM
ALN
ACM
AXE
AGM
AWI
ALU
RSI
AGN
RUN
AFV
ABN
AAQ
ATW
ABL
ACH
AAT
LEP
AFS
GRL
GUY
AHO
AJX
LIB
KLA
AIM
AMI
BIE
MKG
AMG
MNE
TAH
ANV
ANZ
ANT
AOE
AEI
AVZ
AMO
""
AMR
AMS
AOJ
AJU
AKA
LIV
ABL
ABN
LJA
AGB
AGV
MVM
AMY
VGA
AOU
APA
APG
ANA
ANB
NGO
TWG
NGP
SNC
SND
SNG
SNY
AII
BFF
BDM
BER
ABT
APV
ARX
HTT
ARZ
ASB
ASC
ASD
AQN
ARC
ARR
AIL
AIC
AIG
SPM
WOW
ATJ
ATN
ATQ
ATS
AVG
AUX
AVN
BUB
ABD
AIE
AIS
SBK
THT
NMB
NSK
NTL
SGA
AFW
AFW
ACX
AEL
AJM
AWN
AWT
AWW
FWI
AXB
AXD
BSB
BTI
ANI
ANK
ANE
ANG
ABY
ACA
LAV
MHS
AXL
AZF
AZW
MHU
MKH
AZX
RSH
ATA
ATC
XAC
VBW
ATH
AMC
TGA
ASJ
ASN
ASS
NPL
NPR
WAM
RSM
AWZ
AAY
AAZ
ABA
ABB
ABF
ABK
ABO
ABV
ABX
ABZ
ACC
ACY
ADA
TID
ADB
ADG
ADI
ADL
ADN
ADP
ADY
ADQ
ADS
ADU
AEB
AEC
AED
ADX
AEI
AEJ
AEK
AEM
AEN
AEO
AEP
AAC
AAA
AAC
AEU
AEV
AEW
AEX
AEZ
AFA
AFB
UTY
UVS
UVT
AFC
AFE
AFG
AFI
AFJ
AFK
AFO
AFQ
AFX
AFY
AFZ
AGA
AGC
AGF
SLI
AGG
AGH
AGO
AGP
AGT
AGU
AGW
AGX
BLR
BLZ
PLI
BMM
BNB
AGY
AGZ
AHA
AHC
AHE
CJE
AHF
AHG
AHH
AHP
AHW
AHY
AIA
AIB
AIH
ASV
AIK
AIN
AIP
AIU
ABQ
THM
AIR
AIT
AIV
BES
AIW
AIX
AIY
AIZ
AJA
AJB
AJE
AJI
AJK
AJO
AJS
AJT
AJV
AJW
AJY
AKB
AKC
AKF
AKH
MNI
AKK
AKL
AKN
AKW
AKZ
ALB
ALD
ALE
ALF
FYS
DFA
ASQ
ALG
ALL
AWE
TNO
TND
TMP
ALO
ALP
ALP
ALQ
ALV
ALW
ALY
ALZ
AMA
AMD
AMF
AMH
AMJ
AMK
AMM
AMM
AMP
AMQ
AMQ
AMT
AMV
AMX
AMZ
ANC
BRP
ANH
ANM
ANM
ANO
ANQ
ANS
AOM
ANW
SAP
EMS
AOA
AOC
AOD
AOF
AOG
MUN
MUR
AOI
NRO
NRP
AOK
AOL
AON
AOO
AOP
VIV
VIZ
VJE
VGF
VER
AOR
SMX
AOT
AOV
AOX
APC
SVM
APF
APH
API
APJ
PET
ARF
BKL
BLA
APL
APM
APO
APP
APQ
APU
APW
APX
APY
AQA
AQL
AQO
AQT
AQU
AQZ
ARA
ARB
AWT
ARE
ARG
ARH
ARI
SUN
SUO
SUP
ARK
ARL
ARM
ARO
KLD
ARQ
ARS
ART
ARV
ARW
OST
HUC
HUT
HUY
ARY
ASA
ASE
ASF
ASG
ASI
ASM
ASO
ASP
ASR
AST
WAP
ASV
ASZ
ATB
ATD
ATE
ATG
ATI
ATK
ATM
CPV
ATP
FEO
FES
FFA
FFB
ATR
ATT
ATU
ATV
ATW
AUA
AUB
TUP
ABW
TUR
TXU
TXX
AUD
AUF
AUM
AUN
AUP
SVE
AUR
AUS
AUT
AUU
AUY
AVF
AVH
AVJ
AVK
AVM
AVO
AVP
AVP
LFP
LFR
AVS
AVT
AVU
AVV
AVW
AVX
YRG
ZAK
ZZM
BGA
BGD
BGF
BGG
BHC
BIV
SZA
AVY
AWB
AWK
AWL
AWO
AWR
ISM
AWS
AWV
AWY
AXH
AXI
AXK
AXM
XAX
WAJ
IAD
AXN
AXP
BNI
BNZ
BOC
AXR
AXS
AXV
AXX
AXY
AYD
AYK
AYM
NPT
GBN
BJK
HHA
AYN
AYS
AYT
AYZ
AZA
AZE
AZI
AZK
AZL
AZM
AZP
AZS
AZT
AZV
MHC
AZY
